Region,District,Variety,Age (Years),Rainfed/Irrigated,Soil Type,Intercropping,Pest/Disease Pressure,Fertilizer Use (kg/tree/year),Average Yield (Nuts/Tree/Year)
Wet Zone,Galle,Tall,9,Irrigated,Clay Loam,None,Low,1.2,75
Dry Zone,Puttalam,Dwarf (CRIC 60),4,Irrigated,Sandy,Peanut,Low,1.1,91
Intermediate Zone,Puttalam,Tall,13,Rainfed,Reddish Brown Earth,None,Low,0.4,34
Wet Zone,Kalutara,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,Low,0.5,88
Dry Zone,Puttalam,Tall,7,Rainfed,Loamy Sand,None,Low,1.2,52
Intermediate Zone,Puttalam,Tall,13,Rainfed,Reddish Brown Earth,None,Low,0.5,52
Wet Zone,Kalutara,Tall,11,Rainfed,Clay Loam,None,Medium,0.4,69
Intermediate Zone,Kurunegala,Tall,15,Irrigated,Reddish Brown Earth,Sweet Potato,High,1.1,86
Wet Zone,Matara,Tall,6,Irrigated,Sandy Loam,None,Low,1.2,74
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Rainfed,Sandy,None,Low,0.4,76
Wet Zone,Matara,Dwarf (CRIC 60),7,Irrigated,Clay Loam,Pineapple,Low,1.0,100
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),5,Rainfed,Reddish Brown Earth,None,Medium,0.9,61
Wet Zone,Matara,Tall,10,Irrigated,Clay Loam,None,Medium,0.9,70
Wet Zone,Galle,Tall,11,Irrigated,Sandy Loam,Banana,Low,1.0,58
Dry Zone,Polonnaruwa,Tall,15,Irrigated,Sandy,Peanut,Low,1.2,62
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),7,Rainfed,Sandy,None,Low,0.5,79
Wet Zone,Galle,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,Low,1.0,84
Intermediate Zone,Kurunegala,Tall,12,Rainfed,Reddish Brown Earth,None,Medium,0.6,42
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Medium,0.9,89
Dry Zone,Puttalam,Tall,9,Rainfed,Loamy Sand,None,Low,0.7,49
Wet Zone,Kalutara,Dwarf (CRISL 98),4,Irrigated,Sandy Loam,Banana,Medium,1.2,101
Dry Zone,Polonnaruwa,Tall,10,Rainfed,Sandy,None,Medium,0.9,35
Intermediate Zone,Kurunegala,Tall,5,Rainfed,Reddish Brown Earth,None,Low,1.0,68
Wet Zone,Galle,Dwarf (CRIC 60),4,Rainfed,Clay Loam,None,Medium,0.9,110
Dry Zone,Polonnaruwa,Tall,5,Rainfed,Loamy Sand,None,High,0.4,66
Dry Zone,Anuradhapura,Tall,9,Irrigated,Sandy,None,Low,1.1,38
Dry Zone,Anuradhapura,Dwarf (CRIC 60),5,Irrigated,Sandy,None,Medium,0.9,90
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),6,Rainfed,Reddish Brown Earth,None,High,1.2,94
Dry Zone,Anuradhapura,Tall,8,Irrigated,Sandy,Cowpea,Low,0.9,66
Wet Zone,Galle,Tall,5,Rainfed,Clay Loam,None,Medium,0.3,76
Dry Zone,Anuradhapura,Tall,11,Rainfed,Loamy Sand,None,Medium,0.8,58
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),7,Irrigated,Loamy Sand,Peanut,Low,0.8,103
Wet Zone,Galle,Tall,12,Rainfed,Clay Loam,None,Medium,1.0,51
Wet Zone,Galle,Tall,5,Rainfed,Clay Loam,None,Medium,0.9,64
Intermediate Zone,Puttalam,Tall,9,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.0,53
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),6,Rainfed,Reddish Brown Earth,None,Medium,0.5,84
Dry Zone,Anuradhapura,Dwarf (CRIC 60),7,Irrigated,Sandy,Peanut,Low,1.1,75
Intermediate Zone,Kurunegala,Tall,14,Irrigated,Reddish Brown Earth,Cassava,Medium,1.1,64
Wet Zone,Matara,Tall,9,Rainfed,Sandy Loam,None,High,0.6,42
Wet Zone,Kalutara,Tall,12,Rainfed,Sandy Loam,None,Low,0.9,49
Wet Zone,Galle,Tall,15,Rainfed,Clay Loam,None,Medium,0.6,64
Intermediate Zone,Puttalam,Dwarf (CRISL 98),3,Irrigated,Reddish Brown Earth,Cassava,Medium,1.1,92
Dry Zone,Polonnaruwa,Dwarf (CRISL 98),5,Irrigated,Sandy,Peanut,Medium,0.8,72
Wet Zone,Kalutara,Tall,6,Rainfed,Sandy Loam,None,High,1.1,61
Dry Zone,Anuradhapura,Dwarf (CRISL 98),6,Rainfed,Sandy,None,Low,0.5,69
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),5,Rainfed,Reddish Brown Earth,None,Medium,1.0,91
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),3,Rainfed,Reddish Brown Earth,None,Medium,1.0,94
Dry Zone,Anuradhapura,Tall,14,Irrigated,Sandy,Peanut,Low,0.9,65
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),6,Irrigated,Sandy,None,Low,1.0,100
Wet Zone,Kalutara,Dwarf (CRIC 60),5,Rainfed,Clay Loam,None,High,1.0,108
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Medium,1.1,103
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),3,Rainfed,Sandy,None,Low,0.8,87
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),7,Rainfed,Sandy,None,Low,0.9,67
Dry Zone,Anuradhapura,Tall,12,Rainfed,Sandy,None,Low,0.5,53
Wet Zone,Kalutara,Dwarf (CRISL 98),3,Irrigated,Clay Loam,Pineapple,High,1.2,95
Wet Zone,Matara,Tall,7,Rainfed,Clay Loam,None,Medium,0.5,55
Wet Zone,Kalutara,Tall,10,Rainfed,Clay Loam,None,Medium,0.4,76
Intermediate Zone,Kurunegala,Tall,11,Rainfed,Reddish Brown Earth,None,Medium,0.9,35
Dry Zone,Polonnaruwa,Tall,5,Irrigated,Sandy,Cowpea,Low,1.1,70
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),5,Rainfed,Loamy Sand,None,High,0.7,73
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Low,1.2,48
Wet Zone,Kalutara,Dwarf (CRIC 60),5,Rainfed,Sandy Loam,None,Medium,0.9,76
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),7,Rainfed,Reddish Brown Earth,None,Low,0.6,82
Dry Zone,Polonnaruwa,Tall,9,Rainfed,Sandy,None,Medium,0.6,32
Wet Zone,Matara,Tall,12,Rainfed,Sandy Loam,None,Medium,1.2,31
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),7,Rainfed,Sandy,None,High,0.8,73
Wet Zone,Kalutara,Dwarf (Gon Thembili),7,Rainfed,Sandy Loam,None,Medium,0.5,56
Wet Zone,Kalutara,Dwarf (CRISL 98),7,Rainfed,Clay Loam,None,Low,0.9,91
Dry Zone,Anuradhapura,Tall,10,Rainfed,Sandy,None,Low,0.5,58
Wet Zone,Galle,Tall,6,Rainfed,Clay Loam,None,Medium,1.1,72
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,0.7,34
Wet Zone,Galle,Tall,11,Rainfed,Sandy Loam,None,Medium,0.9,34
Dry Zone,Anuradhapura,Tall,6,Irrigated,Sandy,None,Medium,0.9,37
Dry Zone,Polonnaruwa,Tall,6,Rainfed,Loamy Sand,None,High,0.9,28
Dry Zone,Puttalam,Dwarf (CRIC 60),5,Irrigated,Sandy,Cowpea,Medium,1.2,85
Intermediate Zone,Puttalam,Tall,5,Rainfed,Reddish Brown Earth,None,Low,1.1,40
Wet Zone,Matara,Tall,7,Irrigated,Sandy Loam,Banana,High,1.2,44
Intermediate Zone,Puttalam,Dwarf (CRISL 98),4,Rainfed,Reddish Brown Earth,None,Medium,0.4,89
Wet Zone,Galle,Tall,6,Irrigated,Sandy Loam,None,Low,1.0,78
Wet Zone,Matara,Tall,9,Irrigated,Sandy Loam,None,Medium,0.8,53
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),7,Rainfed,Sandy,None,Low,0.6,80
Wet Zone,Matara,Tall,10,Rainfed,Clay Loam,None,Medium,0.3,57
Wet Zone,Matara,Tall,13,Rainfed,Sandy Loam,None,High,1.0,62
Dry Zone,Anuradhapura,Dwarf (CRISL 98),6,Rainfed,Loamy Sand,None,Medium,0.9,66
Intermediate Zone,Kurunegala,Tall,5,Rainfed,Reddish Brown Earth,None,Medium,0.6,71
Dry Zone,Anuradhapura,Tall,14,Irrigated,Loamy Sand,Cowpea,Medium,1.2,80
Intermediate Zone,Puttalam,Tall,8,Irrigated,Reddish Brown Earth,Cassava,Medium,1.1,86
Dry Zone,Puttalam,Tall,6,Rainfed,Sandy,None,Low,0.9,50
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Rainfed,Sandy,None,Medium,1.1,54
Intermediate Zone,Kurunegala,Tall,6,Irrigated,Reddish Brown Earth,None,Medium,0.9,48
Dry Zone,Polonnaruwa,Tall,13,Rainfed,Sandy,None,Medium,0.3,43
Wet Zone,Galle,Dwarf (CRIC 60),3,Irrigated,Clay Loam,None,High,0.8,104
Wet Zone,Matara,Tall,9,Rainfed,Sandy Loam,None,Low,1.0,57
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),5,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.1,110
Dry Zone,Polonnaruwa,Tall,7,Irrigated,Sandy,None,Low,1.1,43
Wet Zone,Matara,Dwarf (CRIC 60),6,Irrigated,Sandy Loam,None,Medium,1.1,119
Intermediate Zone,Kurunegala,Tall,10,Rainfed,Reddish Brown Earth,None,Low,0.5,64
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),3,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,106
Intermediate Zone,Puttalam,Tall,12,Rainfed,Reddish Brown Earth,None,Medium,0.6,41
Intermediate Zone,Kurunegala,Tall,8,Irrigated,Reddish Brown Earth,Cassava,Medium,1.1,42
Wet Zone,Kalutara,Tall,9,Rainfed,Clay Loam,None,High,0.5,55
Intermediate Zone,Puttalam,Tall,6,Rainfed,Reddish Brown Earth,None,Low,0.3,45
Dry Zone,Anuradhapura,Tall,6,Rainfed,Sandy,None,Low,0.4,34
Wet Zone,Galle,Dwarf (CRIC 60),3,Rainfed,Sandy Loam,None,Medium,0.8,87
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),7,Rainfed,Reddish Brown Earth,None,Medium,0.5,92
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),5,Rainfed,Reddish Brown Earth,None,Low,0.8,82
Dry Zone,Polonnaruwa,Tall,15,Rainfed,Loamy Sand,None,Low,0.5,38
Intermediate Zone,Puttalam,Tall,13,Irrigated,Reddish Brown Earth,None,Low,1.1,45
Intermediate Zone,Kurunegala,Tall,14,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.1,72
Wet Zone,Galle,Tall,7,Rainfed,Sandy Loam,None,Low,0.5,58
Dry Zone,Anuradhapura,Dwarf (CRISL 98),7,Rainfed,Sandy,None,Low,0.9,79
Dry Zone,Anuradhapura,Tall,9,Rainfed,Sandy,None,Low,0.8,27
Wet Zone,Kalutara,Tall,13,Rainfed,Sandy Loam,None,Low,0.5,32
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),7,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,101
Dry Zone,Puttalam,Dwarf (CRISL 98),5,Irrigated,Sandy,Peanut,Medium,1.1,75
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Low,1.2,102
Wet Zone,Galle,Tall,8,Rainfed,Clay Loam,None,Medium,0.4,38
Intermediate Zone,Puttalam,Tall,12,Irrigated,Reddish Brown Earth,Cassava,Low,0.9,76
Wet Zone,Matara,Tall,7,Irrigated,Clay Loam,Banana,Medium,1.2,84
Dry Zone,Anuradhapura,Tall,6,Rainfed,Loamy Sand,None,Low,1.2,40
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,1.0,48
Intermediate Zone,Puttalam,Dwarf (CRIC 60),4,Rainfed,Reddish Brown Earth,None,Low,1.1,68
Wet Zone,Galle,Dwarf (Gon Thembili),4,Rainfed,Clay Loam,None,Medium,0.3,94
Wet Zone,Matara,Dwarf (CRIC 60),6,Rainfed,Sandy Loam,None,Medium,0.8,96
Dry Zone,Puttalam,Tall,6,Rainfed,Sandy,None,Low,1.0,52
Wet Zone,Kalutara,Tall,5,Irrigated,Clay Loam,None,Low,1.1,73
Dry Zone,Anuradhapura,Dwarf (CRIC 60),3,Irrigated,Loamy Sand,Peanut,Medium,1.2,100
Dry Zone,Puttalam,Tall,13,Rainfed,Loamy Sand,None,Low,0.4,51
Intermediate Zone,Kurunegala,Tall,9,Rainfed,Reddish Brown Earth,None,High,0.8,44
Intermediate Zone,Puttalam,Tall,15,Irrigated,Reddish Brown Earth,None,Low,1.1,69
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),3,Rainfed,Sandy,None,High,1.0,65
Dry Zone,Anuradhapura,Tall,13,Irrigated,Sandy,Peanut,Medium,1.0,48
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,1.2,56
Wet Zone,Galle,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,Medium,1.2,80
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),5,Irrigated,Loamy Sand,None,Medium,1.1,96
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),4,Rainfed,Reddish Brown Earth,None,Medium,0.9,79
Wet Zone,Galle,Dwarf (CRISL 98),4,Irrigated,Sandy Loam,Pineapple,High,1.2,104
Dry Zone,Puttalam,Tall,7,Rainfed,Sandy,None,Medium,1.0,44
Wet Zone,Kalutara,Tall,7,Irrigated,Clay Loam,Pineapple,Medium,0.9,54
Dry Zone,Anuradhapura,Dwarf (CRIC 60),7,Rainfed,Loamy Sand,None,Low,0.9,62
Wet Zone,Kalutara,Tall,11,Irrigated,Sandy Loam,Banana,Medium,1.0,55
Dry Zone,Puttalam,Tall,7,Irrigated,Loamy Sand,Peanut,Medium,1.0,75
Wet Zone,Kalutara,Dwarf (CRISL 98),3,Irrigated,Sandy Loam,Pineapple,Low,0.9,106
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),7,Irrigated,Loamy Sand,Cowpea,High,0.9,80
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,Medium,1.0,48
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),4,Rainfed,Sandy,None,Low,0.4,56
Wet Zone,Matara,Dwarf (CRISL 98),4,Rainfed,Sandy Loam,None,Medium,1.1,93
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),4,Rainfed,Sandy,None,Medium,0.5,76
Wet Zone,Matara,Dwarf (CRIC 60),5,Rainfed,Clay Loam,None,High,0.9,74
Wet Zone,Matara,Dwarf (CRISL 98),3,Irrigated,Sandy Loam,Banana,High,1.0,86
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),3,Rainfed,Sandy,None,Medium,0.6,48
Intermediate Zone,Kurunegala,Tall,15,Rainfed,Reddish Brown Earth,None,High,1.1,48
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),7,Irrigated,Loamy Sand,Peanut,Low,1.2,89
Intermediate Zone,Puttalam,Tall,5,Irrigated,Reddish Brown Earth,Cassava,Medium,0.9,58
Dry Zone,Anuradhapura,Tall,11,Irrigated,Sandy,None,Medium,1.0,48
Dry Zone,Polonnaruwa,Tall,9,Rainfed,Loamy Sand,None,Medium,0.4,51
Wet Zone,Kalutara,Dwarf (CRIC 60),5,Rainfed,Clay Loam,None,Low,1.0,87
Intermediate Zone,Puttalam,Tall,7,Irrigated,Reddish Brown Earth,Cassava,Medium,1.0,78
Dry Zone,Anuradhapura,Dwarf (CRIC 60),3,Irrigated,Sandy,Cowpea,Medium,0.9,73
Dry Zone,Puttalam,Tall,8,Rainfed,Loamy Sand,None,Low,1.2,44
Intermediate Zone,Kurunegala,Tall,5,Irrigated,Reddish Brown Earth,Cassava,Low,0.8,59
Intermediate Zone,Puttalam,Tall,14,Irrigated,Reddish Brown Earth,Cassava,Medium,1.1,55
Intermediate Zone,Puttalam,Tall,9,Rainfed,Reddish Brown Earth,None,High,0.3,39
Intermediate Zone,Puttalam,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Low,0.8,86
Wet Zone,Kalutara,Tall,10,Rainfed,Clay Loam,None,Medium,0.7,51
Dry Zone,Anuradhapura,Dwarf (CRISL 98),5,Rainfed,Sandy,None,High,1.1,63
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,0.8,48
Wet Zone,Kalutara,Tall,13,Rainfed,Clay Loam,None,Low,1.2,67
Dry Zone,Anuradhapura,Dwarf (CRISL 98),4,Irrigated,Sandy,None,Low,1.1,98
Dry Zone,Anuradhapura,Tall,11,Rainfed,Loamy Sand,None,Medium,1.0,35
Dry Zone,Anuradhapura,Tall,8,Rainfed,Loamy Sand,None,Low,0.4,46
Dry Zone,Puttalam,Tall,15,Rainfed,Sandy,None,Low,1.1,33
Wet Zone,Galle,Dwarf (CRIC 60),3,Rainfed,Sandy Loam,None,Medium,1.0,60
Intermediate Zone,Kurunegala,Tall,10,Rainfed,Reddish Brown Earth,None,Low,0.7,44
Wet Zone,Galle,Tall,5,Rainfed,Sandy Loam,None,Low,0.4,37
Dry Zone,Polonnaruwa,Tall,8,Irrigated,Loamy Sand,Peanut,Medium,0.8,63
Intermediate Zone,Puttalam,Dwarf (CRISL 98),6,Rainfed,Reddish Brown Earth,None,Medium,0.6,87
Intermediate Zone,Kurunegala,Tall,10,Irrigated,Reddish Brown Earth,Cassava,Low,1.2,72
Dry Zone,Puttalam,Tall,11,Rainfed,Sandy,None,Low,0.5,59
Dry Zone,Puttalam,Tall,12,Rainfed,Loamy Sand,None,High,1.0,46
Intermediate Zone,Kurunegala,Tall,15,Rainfed,Reddish Brown Earth,None,Medium,0.6,44
Dry Zone,Anuradhapura,Dwarf (CRISL 98),6,Irrigated,Sandy,Peanut,Low,0.9,76
Intermediate Zone,Kurunegala,Tall,11,Irrigated,Reddish Brown Earth,Cassava,Low,0.8,73
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),4,Rainfed,Reddish Brown Earth,None,Medium,0.5,94
Wet Zone,Kalutara,Tall,12,Rainfed,Clay Loam,None,Medium,1.2,69
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),6,Rainfed,Sandy,None,High,0.3,59
Dry Zone,Polonnaruwa,Dwarf (CRISL 98),5,Irrigated,Sandy,None,Medium,1.0,77
Wet Zone,Galle,Tall,8,Irrigated,Sandy Loam,Banana,Low,1.1,40
Wet Zone,Galle,Dwarf (CRISL 98),4,Rainfed,Sandy Loam,None,Low,1.0,82
Intermediate Zone,Kurunegala,Tall,10,Rainfed,Reddish Brown Earth,None,Medium,0.7,69
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,Low,0.7,45
Dry Zone,Puttalam,Tall,7,Rainfed,Loamy Sand,None,Medium,0.6,54
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,1.0,66
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Low,1.2,42
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),6,Rainfed,Sandy,None,Low,0.8,73
Dry Zone,Puttalam,Tall,15,Rainfed,Sandy,None,Medium,1.2,58
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),3,Rainfed,Sandy,None,High,1.1,68
Wet Zone,Galle,Tall,9,Rainfed,Sandy Loam,None,Medium,0.7,36
Wet Zone,Kalutara,Tall,5,Rainfed,Sandy Loam,None,Medium,0.6,66
Wet Zone,Galle,Tall,9,Rainfed,Clay Loam,None,High,0.8,77
Wet Zone,Galle,Tall,10,Rainfed,Sandy Loam,None,Low,0.8,46
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),4,Irrigated,Reddish Brown Earth,Cassava,Low,1.0,91
Intermediate Zone,Puttalam,Tall,13,Rainfed,Reddish Brown Earth,None,Medium,0.9,55
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),5,Rainfed,Reddish Brown Earth,None,Medium,0.9,78
Dry Zone,Puttalam,Dwarf (Gon Thembili),7,Rainfed,Sandy,None,High,0.3,58
Dry Zone,Polonnaruwa,Tall,13,Rainfed,Sandy,None,High,1.1,61
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),4,Rainfed,Loamy Sand,None,Medium,0.5,63
Wet Zone,Kalutara,Tall,13,Rainfed,Sandy Loam,None,Low,0.5,68
Wet Zone,Kalutara,Dwarf (CRIC 60),5,Irrigated,Clay Loam,Pineapple,Low,1.2,127
Dry Zone,Anuradhapura,Tall,7,Rainfed,Sandy,None,Low,0.4,27
Intermediate Zone,Kurunegala,Tall,9,Rainfed,Reddish Brown Earth,None,High,0.7,51
Intermediate Zone,Puttalam,Tall,12,Rainfed,Reddish Brown Earth,None,Low,0.6,48
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,1.0,47
Dry Zone,Anuradhapura,Dwarf (CRISL 98),4,Rainfed,Sandy,None,Low,1.2,62
Wet Zone,Kalutara,Tall,11,Rainfed,Clay Loam,None,Low,0.3,41
Dry Zone,Anuradhapura,Tall,15,Rainfed,Sandy,None,Low,0.9,35
Wet Zone,Galle,Dwarf (CRIC 60),7,Irrigated,Clay Loam,Banana,High,1.1,114
Wet Zone,Matara,Tall,13,Rainfed,Clay Loam,None,Medium,0.8,51
Dry Zone,Polonnaruwa,Tall,12,Rainfed,Sandy,None,Medium,1.0,49
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),7,Rainfed,Reddish Brown Earth,None,Low,0.7,62
Wet Zone,Matara,Tall,7,Irrigated,Sandy Loam,Banana,High,1.2,61
Dry Zone,Polonnaruwa,Tall,13,Irrigated,Sandy,Peanut,Low,1.2,40
Dry Zone,Anuradhapura,Tall,7,Rainfed,Sandy,None,Medium,0.6,51
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),5,Rainfed,Reddish Brown Earth,None,Low,0.6,71
Intermediate Zone,Puttalam,Tall,6,Rainfed,Reddish Brown Earth,None,Low,0.4,52
Intermediate Zone,Puttalam,Tall,9,Rainfed,Reddish Brown Earth,None,Medium,1.0,43
Wet Zone,Kalutara,Tall,10,Rainfed,Sandy Loam,None,Low,0.3,63
Intermediate Zone,Puttalam,Dwarf (CRIC 60),5,Irrigated,Reddish Brown Earth,Cassava,Low,0.8,123
Intermediate Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Reddish Brown Earth,None,Medium,1.1,71
Dry Zone,Anuradhapura,Tall,15,Irrigated,Loamy Sand,None,Low,1.0,64
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,0.9,72
Intermediate Zone,Puttalam,Tall,8,Irrigated,Reddish Brown Earth,Cassava,Medium,1.1,78
Dry Zone,Polonnaruwa,Tall,14,Irrigated,Sandy,None,Medium,0.9,67
Wet Zone,Kalutara,Tall,10,Irrigated,Sandy Loam,Banana,Low,1.1,78
Dry Zone,Anuradhapura,Dwarf (CRIC 60),4,Rainfed,Sandy,None,Medium,0.7,59
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),7,Rainfed,Reddish Brown Earth,None,Low,0.9,82
Wet Zone,Kalutara,Tall,11,Rainfed,Sandy Loam,None,Medium,0.9,36
Intermediate Zone,Puttalam,Tall,10,Rainfed,Reddish Brown Earth,None,Medium,0.8,50
Dry Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Sandy,None,Low,0.5,64
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),4,Irrigated,Sandy,None,Low,1.2,89
Dry Zone,Polonnaruwa,Tall,12,Rainfed,Sandy,None,Medium,1.0,58
Intermediate Zone,Puttalam,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Low,1.1,104
Dry Zone,Puttalam,Tall,9,Irrigated,Sandy,Peanut,Low,0.8,48
Wet Zone,Galle,Dwarf (CRIC 60),6,Rainfed,Clay Loam,None,Medium,0.3,82
Intermediate Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Reddish Brown Earth,None,Low,1.1,87
Wet Zone,Matara,Tall,8,Irrigated,Sandy Loam,Pineapple,High,0.8,58
Intermediate Zone,Kurunegala,Tall,13,Irrigated,Reddish Brown Earth,Cassava,Medium,0.9,76
Wet Zone,Kalutara,Tall,14,Irrigated,Sandy Loam,Pineapple,High,0.9,37
Intermediate Zone,Kurunegala,Tall,14,Irrigated,Reddish Brown Earth,Cassava,Medium,1.1,38
Wet Zone,Galle,Dwarf (Gon Thembili),5,Rainfed,Clay Loam,None,Medium,0.6,96
Wet Zone,Matara,Tall,7,Rainfed,Clay Loam,None,Low,0.5,67
Dry Zone,Anuradhapura,Tall,12,Rainfed,Sandy,None,Low,0.8,27
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),3,Irrigated,Reddish Brown Earth,None,High,1.2,82
Dry Zone,Puttalam,Tall,12,Rainfed,Sandy,None,Medium,0.5,36
Dry Zone,Puttalam,Tall,10,Rainfed,Sandy,None,Low,0.4,29
Dry Zone,Puttalam,Dwarf (Gon Thembili),7,Irrigated,Sandy,Peanut,Low,1.2,84
Wet Zone,Galle,Tall,14,Rainfed,Clay Loam,None,Low,0.7,57
Dry Zone,Polonnaruwa,Tall,12,Irrigated,Loamy Sand,Peanut,Medium,1.2,44
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),4,Irrigated,Reddish Brown Earth,None,Low,0.9,108
Dry Zone,Puttalam,Dwarf (CRISL 98),3,Rainfed,Sandy,None,Low,0.9,82
Wet Zone,Matara,Tall,7,Rainfed,Sandy Loam,None,High,1.1,54
Wet Zone,Matara,Dwarf (Gon Thembili),6,Rainfed,Clay Loam,None,Medium,0.9,55
Dry Zone,Puttalam,Dwarf (CRIC 60),5,Irrigated,Sandy,None,Medium,0.8,98
Dry Zone,Polonnaruwa,Dwarf (CRISL 98),5,Irrigated,Loamy Sand,None,Low,0.8,75
Wet Zone,Matara,Dwarf (Gon Thembili),6,Rainfed,Clay Loam,None,Low,1.0,84
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,1.2,33
Dry Zone,Puttalam,Tall,8,Rainfed,Sandy,None,Low,0.4,37
Wet Zone,Galle,Tall,10,Irrigated,Clay Loam,Pineapple,High,1.1,41
Wet Zone,Matara,Dwarf (CRISL 98),5,Rainfed,Sandy Loam,None,Medium,0.5,70
Wet Zone,Kalutara,Dwarf (CRISL 98),3,Irrigated,Sandy Loam,Pineapple,Medium,1.2,91
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,Low,0.4,40
Wet Zone,Matara,Tall,5,Irrigated,Clay Loam,None,High,1.2,87
Wet Zone,Matara,Tall,11,Rainfed,Sandy Loam,None,Medium,0.9,46
Dry Zone,Puttalam,Tall,15,Rainfed,Sandy,None,Medium,0.7,47
Intermediate Zone,Puttalam,Dwarf (CRISL 98),3,Rainfed,Reddish Brown Earth,None,Low,0.6,98
Intermediate Zone,Puttalam,Dwarf (CRISL 98),5,Irrigated,Reddish Brown Earth,None,Medium,1.1,107
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),6,Irrigated,Sandy,None,Medium,1.1,96
Dry Zone,Puttalam,Tall,11,Rainfed,Loamy Sand,None,Low,1.1,28
